corso
Abilitazione Odontoiatria e Protesi dentaria
Architettura
Biologia cellulare e molecolare
Causidico
Chimica
Chimica e Farmacia
Chimica e Tecnologie Farmaceutiche
Corso d'Igiene per gli ufficiali sanitari
Corso di Igiene Scolastica
Corso di Ufficiale Sanitario
Corso di vigilanza scolastica
Corso per la cura del Tracoma
Droghiere
Farmacia
Filosofia
Filosofia e Arti
Fisica
Flebotomia
Geodesia
Giurisprudenza
Grammatica e Belle Lettere
Ingegneria
Ingegneria mineraria
Lettere
Lettere e Filosofia
Levatrice
Lingue e letterature moderne europeee e americane
Lingue e Letterature straniere
Lingue moderne per la comunicazione e la cooperazione internazionale 
Magistero
Matematica
Matematica per ingegnere
Materie letterarie
Medicina e Chirurgia
Notarile
Odontoiatria
Ostetricia
Pedagogia
Procuratore
Psicologia
Scienze biologiche
Scienze dei materiali
Scienze dell'educazione
Scienze della Formazione Primaria
Scienze geologiche
Scienze motorie
Scienze Naturali
Scienze politiche
Speziale
Teologia
