facolta
Economia e commercio
Farmacia
Filosofia e Arti
Giurisprudenza
Ingegneria
Lettere e Filosofia
Magistero
Medicina
Medicina e Chirurgia
"Scienze fisiche, matematiche e naturali"
Scienze politiche
Scuola di chirurgia
Scuola di Farmacia
Teologia
